"Reference","Stage","Reviewer","Decision","Reason","At"
"R-56","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:24.632Z"
"R-57","title-abstract","Bernardo Ibarra Infante","maybe","","2026-09-07T19:13:19.647Z"
"R-57","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:37:49.622Z"
"R-57","full-text","Bernardo Ibarra Infante","exclude","See reason in screening module","2026-09-07T19:34:39.167Z"
"R-57","full-text","Remberto Sandoval Arechiga","exclude","Wrong intervention","2026-09-07T20:47:35.694Z"
"R-58","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:22.562Z"
"R-58","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:51.346Z"
"R-58","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:19:47.546Z"
"R-58","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:39.363Z"
"R-59","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:29.408Z"
"R-59","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:54.721Z"
"R-59","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:20:05.438Z"
"R-59","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:40.772Z"
"R-60","title-abstract","Bernardo Ibarra Infante","include","","2026-09-07T19:13:32.869Z"
"R-60","title-abstract","Remberto Sandoval Arechiga","include","","2026-09-07T20:37:57.587Z"
"R-60","full-text","Bernardo Ibarra Infante","include","","2026-09-07T20:20:22.665Z"
"R-60","full-text","Remberto Sandoval Arechiga","include","","2026-09-07T20:47:41.960Z"
"R-61","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:36.357Z"
"R-61","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:01.105Z"
"R-62","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:38.409Z"
"R-62","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:03.737Z"
"R-63","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:41.643Z"
"R-63","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:06.407Z"
"R-64","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:46.011Z"
"R-64","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:09.336Z"
"R-65","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:49.483Z"
"R-65","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:11.978Z"
"R-66","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:52.943Z"
"R-66","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:15.155Z"
"R-67","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:55.160Z"
"R-67","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:17.499Z"
"R-68","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:13:58.584Z"
"R-68","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:19.339Z"
"R-69","title-abstract","Bernardo Ibarra Infante","exclude","Wrong intervention","2026-09-07T19:14:07.945Z"
"R-69","title-abstract","Remberto Sandoval Arechiga","exclude","Wrong population","2026-09-07T20:38:22.888Z"
"R-70","title-abstract","Bernardo Ibarra Infante","exclude","Wrong population","2026-09-07T19:14:12.199Z"
